Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:28qA8y1sz0FTuSapsCxNOG,"Father Time (feat. Sampha)","Mr. Morale & The Big Steppers","Kendrick Lamar,Sampha",2022-05-13,222497,74,true,,2023-06-09T23:10:27Z,"hip hop,west coast hip hop,indie soul","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.514,0.779,10,-4.365,0,0.344,0.181,0,0.099,0.517,152.869,4
spotify:track:3drdWsJKiVCSQ2gKhd9BDT,"Savior","Mr. Morale & The Big Steppers","Kendrick Lamar,Baby Keem,Sam Dew",2022-05-13,224466,68,true,,2023-06-09T23:10:27Z,"hip hop,west coast hip hop","pgLang/Top Dawg Entertainment/Aftermath/Interscope Records",0.605,0.692,8,-7.45,1,0.446,0.495,0,0.303,0.685,124.84,5
spotify:track:3g7wWCTl5C6yKUA4FrZxxH,"I Can't Go for That (No Can Do) - Nicolaas Remix","I Can't Go for That (No Can Do) [Nicolaas Remix]","Daryl Hall & John Oates,Nicolaas",2021-04-02,285419,39,false,,2023-06-09T23:10:27Z,"yacht rock,soft rock,nu disco","RCA/Legacy",0.879,0.521,5,-5.115,0,0.0579,0.06,0.0263,0.181,0.775,111,4
spotify:track:3u2WHtkxMtqkzLK5y9jmlv,"last july","last july","SOAK",2022-01-25,226320,10,true,,2023-06-09T23:10:27Z,"","Rough Trade",0.442,0.755,2,-6.841,1,0.0977,0.00419,0,0.32,0.36,125.06,4
spotify:track:4yc69QtlnLzjcYSMPOtrEo,"Last Day On Earth","Last Day On Earth","beabadoobee",2021-03-24,222357,53,true,,2023-06-09T23:10:27Z,"bedroom pop","Dirty Hit",0.444,0.932,6,-3.634,1,0.0359,0.00858,0.453,0.0511,0.896,99.999,4
spotify:track:02X75Hn5XDRg60ZtLYLCqi,"Liquid Love","Flora Fauna","Billie Marten",2021-05-21,231880,37,false,,2023-06-09T23:10:27Z,"","Fiction Records",0.601,0.428,11,-8.407,1,0.0288,0.538,0.026,0.0856,0.327,77.998,4
spotify:track:77fOA740BCuAkclGxQUuEP,"what else can she do","What Else Can She Do","Kaitlin Butts",2022-04-15,310173,27,false,,2023-06-09T23:10:27Z,"red dirt,texas country","Kaitlin Butts",0.549,0.335,11,-8.766,1,0.0339,0.356,0.00031,0.084,0.323,145.855,3
spotify:track:6TKbvPjGb3iZTsYFBwWoO1,"in the pines","What Else Can She Do","Kaitlin Butts",2022-04-15,336973,22,false,,2023-06-09T23:10:27Z,"red dirt,texas country","Kaitlin Butts",0.341,0.501,4,-7.755,0,0.051,0.0858,0.000384,0.115,0.344,122.239,3
spotify:track:5eR6OS3joTAHJToyzehKfu,"Trouble’s Coming","Trouble’s Coming","Royal Blood",2020-09-24,228400,51,false,,2023-06-09T23:10:27Z,"garage rock,rock","Warner Records",0.775,0.688,1,-5.038,0,0.0384,0.0533,0,0.321,0.805,112.009,4
spotify:track:024E9hWCSo77SRWKzNOyV1,"More Power","C’MON YOU KNOW (Deluxe Edition)","Liam Gallagher",2022-05-27,263396,38,false,,2023-06-09T23:10:27Z,"britpop,madchester","Warner Records",0.351,0.477,6,-5.145,1,0.0298,0.515,0.0000173,0.109,0.129,78.017,4
spotify:track:2luA0vCtUWpSBqyzi7SGHi,"Sagittarius Superstar (feat. Faye Webster)","Sagittarius Superstar (feat. Faye Webster)","COIN,Faye Webster",2021-02-11,173320,8,false,,2023-06-09T23:10:27Z,"","The Committee for Sound & Mind",0.552,0.653,5,-8.632,1,0.0523,0.29,0.00124,0.247,0.647,119.672,4
spotify:track:4WXLtNJkLSoDbKO8vqUFIb,"Totally Fine","Totally Fine","PUP",2022-03-22,223986,0,false,,2023-06-09T23:10:27Z,"midwest emo,indie punk,emo,punk","Rise Records",0.315,0.941,6,-2.602,1,0.0705,0.000336,0.0000196,0.468,0.226,150.07,4
spotify:track:3lKAIzNiCFL9cqPl3Glb5B,"The Last","Melt My Eyez See Your Future","Denzel Curry",2022-03-25,262586,53,true,,2023-06-09T23:10:27Z,"","Loma Vista Recordings",0.808,0.559,6,-9.007,1,0.0977,0.409,0,0.113,0.306,111.043,4
spotify:track:4oX1UffqjcrZohJNEneSPy,"Parking on the Grass","Parking on the Grass","Lott",2014-08-05,238500,2,false,,2023-06-09T23:10:27Z,"","The Homestead Records",0.438,0.448,10,-10.162,1,0.0287,0.134,0.00487,0.115,0.627,144.44,4
